actor,timeStamp,object,result,verb,extension,,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-05T15:42:30.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo""}]",[{}],"[{""display"":""launched"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/launched""}]","[{""osVersion"":""12.1.2"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-05T15:42:30.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""osVersion"":""12.1.2"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-05T15:42:41.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit""}]","[{""duration"":11}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""osVersion"":""12.1.2"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-06T16:38:51.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""appVersion"":""2.2.1"",""classId"":2}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-06T16:38:51.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/launched"",""display"":""launched""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""appVersion"":""2.2.1"",""classId"":2}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-06T16:38:52.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9""}]","[{""continue"":true}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""appVersion"":""2.2.1"",""classId"":2}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-06T16:38:53.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""appVersion"":""2.2.1"",""classId"":2}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-06T16:38:53.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9/listening""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""appVersion"":""2.2.1"",""classId"":2}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-06T16:38:53.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9/speaking""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""appVersion"":""2.2.1"",""classId"":2}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-06T16:38:57.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/9/grammar""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""appVersion"":""2.2.1"",""classId"":2}]",,
