actor,timeStamp,object,result,verb,extension
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:13:04.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:13:07.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]","[{""duration"":22}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:15:24.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:15:24.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:15:29.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]","[{""duration"":6}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:15:29.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]","[{""duration"":6}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:15:45.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""resumed"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/resumed""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:16:41.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:16:41.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
"[{""objectType"":""agent"",""openId"":224}]",2018-04-19T05:16:42.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]","[{""duration"":58}]","[{""display"":""terminated"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/terminated""}]","[{""classId"":7,""deviceId"":""66CF3773-E7D8-493E-A2ED-D4C4BE5260D1""}]"
