actor,timeStamp,object,result,verb,extension
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:49.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:54.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:54.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:56.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:56.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:58.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:58.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:59.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:41:59.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/Setting""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
"[{""objectType"":""agent"",""openId"":28}]",2018-04-18T00:42:05.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""6BC7E4AC-BF34-466C-B206-6DC2166171D0""}]"
