test_result,openId
98,103
87,113
100,110
91,108
94,150
96,106
94,151
97,146
88,126
88,114
99,218
99,216
97,215
96,75
92,60
91,36
100,222
94,220
98,427
96,419
90,416
91,79
100,439
94,434
95,429
96,410
97,414
88,382
100,492
93,486
80,152
81,135
86,28
73,120
73,115
75,73
80,20
85,221
79,208
86,194
85,161
86,160
75,159
83,375
77,346
85,367
73,316
81,493
74,485
72,383
81,477
74,417
72,396
78,386
82,372
76,291
79,288
78,284
77,282
84,499
83,303
66,157
67,149
61,145
68,116
64,105
68,101
69,96
64,92
70,69
69,48
61,42
69,24
61,16
64,332
62,413
71,374
63,362
69,329
68,328
67,313
69,12
65,224
61,200
69,181
66,179
64,312
63,294
60,438
64,292
70,508
61,472
60,418
95,442
